realization,protocol,d_collected,F_cond,P_success,Y_weighted
5,matched,5,0.997151690910217,0.250714111282101,0.24999999999999936
5,matched,6,0.9994510725491683,0.2501373072344173,0.2499999999999992
5,matched,7,1.0,0.24999999999999925,0.24999999999999925
6,matched,1,0.5699817547450974,0.4386105308086617,0.24999999999999958
6,matched,2,0.8438891374890762,0.2962474439994029,0.24999999999999953
6,matched,3,0.9580680231358871,0.2609418057620954,0.2499999999999994
6,matched,4,0.9888449771753671,0.25282021527188586,0.2499999999999994
6,matched,5,0.9973010823192588,0.25067655538748196,0.2499999999999994
6,matched,6,0.9997049936709416,0.25007377334586783,0.24999999999999928
6,matched,7,0.9999999999999996,0.24999999999999933,0.24999999999999922
7,matched,1,0.5713234645840528,0.43758048723241216,0.2499999999999996
7,matched,2,0.8420997168374811,0.29687695530747654,0.24999999999999953
7,matched,3,0.956397303205703,0.26139764213265376,0.24999999999999953
7,matched,4,0.9883752557104726,0.2529403670878954,0.24999999999999942
7,matched,5,0.9971879596015217,0.2507049925671986,0.24999999999999942
7,matched,6,0.999465230764426,0.25013376384168023,0.24999999999999936
7,matched,7,0.9999999999999996,0.24999999999999936,0.24999999999999925
8,matched,1,0.5655299142291104,0.44206326440004795,0.24999999999999967
8,matched,2,0.8411793802873404,0.29720176915725327,0.2499999999999995
8,matched,3,0.9541361544254277,0.2620171123800955,0.24999999999999944
8,matched,4,0.9865090054712002,0.2534188726240653,0.24999999999999944
8,matched,5,0.9968936614918806,0.2507790044786392,0.24999999999999936
8,matched,6,0.9993583483147007,0.2501605159166326,0.24999999999999933
8,matched,7,0.9999999999999996,0.24999999999999936,0.24999999999999925
9,matched,1,0.5715547594177037,0.43740340865098903,0.24999999999999958
9,matched,2,0.846959105147278,0.2951736376416037,0.24999999999999958
9,matched,3,0.9577130356436439,0.2610385268818898,0.24999999999999958
9,matched,4,0.9900346793553108,0.2525164069634349,0.24999999999999944
9,matched,5,0.9979284523946672,0.25051896195572926,0.24999999999999942
9,matched,6,0.9998438250769806,0.2500390498293584,0.24999999999999942
9,matched,7,1.0,0.24999999999999942,0.24999999999999942
10,matched,1,0.5735312887359054,0.4358960093546306,0.24999999999999956
10,matched,2,0.8424597985163457,0.2967500650360694,0.24999999999999947
10,matched,3,0.9531562677767644,0.2622864775186593,0.24999999999999953
10,matched,4,0.9883495665535131,0.2529469415075252,0.2499999999999994
10,matched,5,0.9975163855735486,0.25062244953124785,0.24999999999999944
10,matched,6,0.9994764297602573,0.2501309611272839,0.24999999999999942
10,matched,7,0.9999999999999996,0.24999999999999936,0.24999999999999925
11,matched,1,0.566557742082966,0.4412612897687487,0.24999999999999967
11,matched,2,0.845526979323454,0.29567359305321794,0.24999999999999956
11,matched,3,0.9571658104573085,0.26118776628738555,0.24999999999999947
11,matched,4,0.9892799927963947,0.25270904275878997,0.24999999999999953
11,matched,5,0.9979413801922352,0.25051571661638233,0.24999999999999947
11,matched,6,0.9993556585825937,0.2501611892152383,0.24999999999999928
11,matched,7,0.9999999999999996,0.24999999999999933,0.24999999999999922
12,matched,1,0.5735214694699864,0.43590347233388543,0.24999999999999953
12,matched,2,0.8489630583482437,0.29447688864861044,0.24999999999999953
12,matched,3,0.9573459341026473,0.2611386240798451,0.2499999999999994
12,matched,4,0.9881897306955068,0.25298785469470997,0.24999999999999944
12,matched,5,0.9961715502540861,0.2509607907756788,0.24999999999999928
12,matched,6,0.9994696431839014,0.2501326595609263,0.24999999999999928
12,matched,7,0.9999999999999996,0.24999999999999933,0.24999999999999922
13,matched,1,0.57086230224153,0.4379339799078647,0.24999999999999958
13,matched,2,0.8429957969375097,0.29656138370821766,0.24999999999999956
13,matched,3,0.9559024995593044,0.2615329493491814,0.24999999999999947
13,matched,4,0.9879903154875666,0.25303891756937524,0.2499999999999994
13,matched,5,0.9973257055772864,0.25067036636270273,0.2499999999999994
13,matched,6,0.9994011269714808,0.2501498079730837,0.2499999999999994
13,matched,7,0.9999999999999996,0.24999999999999936,0.24999999999999925
14,matched,1,0.5724418261209425,0.43672560003884286,0.24999999999999958
14,matched,2,0.8359488149638731,0.29906137256837145,0.24999999999999944
14,matched,3,0.9551249024825349,0.2617458715087485,0.24999999999999953
14,matched,4,0.9866973624719599,0.2533704958668155,0.24999999999999947
14,matched,5,0.9973990568849797,0.2506519314152805,0.2499999999999994
14,matched,6,0.9999004765285449,0.25002488334434,0.2499999999999994
14,matched,7,0.9999999999999996,0.24999999999999936,0.24999999999999925
15,matched,1,0.5734724517443421,0.435940731310754,0.24999999999999958
15,matched,2,0.839854848857784,0.2976704847748435,0.24999999999999947
15,matched,3,0.952443801862441,0.26248267825476,0.2499999999999995
15,matched,4,0.9869448563554435,0.2533069587324169,0.24999999999999942
15,matched,5,0.9975748457458418,0.25060776248130606,0.24999999999999944
15,matched,6,0.9994107010293392,0.250147411612176,0.2499999999999995
15,matched,7,1.0,0.24999999999999942,0.24999999999999942
16,matched,1,0.5673660242029226,0.44063265922773204,0.24999999999999956
16,matched,2,0.8375063188426838,0.2985052104985481,0.24999999999999947
16,matched,3,0.9568386308891885,0.2612770763317476,0.2499999999999994
16,matched,4,0.9898297115959869,0.25256869648507835,0.24999999999999944
16,matched,5,0.9975645903670388,0.25061033883331374,0.24999999999999942
16,matched,6,0.9990902088839471,0.2502276548974157,0.24999999999999928
16,matched,7,0.9999999999999996,0.24999999999999933,0.24999999999999922
17,matched,1,0.572940689341709,0.43634534019086996,0.24999999999999958
17,matched,2,0.8450861154142251,0.2958278398379084,0.24999999999999953
17,matched,3,0.9561463208467484,0.2614662573596511,0.24999999999999947
17,matched,4,0.9883731021120612,0.25294091822791687,0.2499999999999994
17,matched,5,0.9977002707415656,0.2505762575509582,0.24999999999999928
17,matched,6,0.9994450693079248,0.25013880970278257,0.24999999999999933
17,matched,7,0.9999999999999996,0.24999999999999936,0.24999999999999925
18,matched,1,0.5717021468078523,0.4372906440808311,0.24999999999999958
18,matched,2,0.8431260279590727,0.29651557621245106,0.24999999999999956
18,matched,3,0.9539408855889513,0.262070746496679,0.24999999999999953
18,matched,4,0.9878271216887842,0.2530807208174248,0.24999999999999947
18,matched,5,0.9966917087020202,0.2508298181045084,0.2499999999999994
18,matched,6,0.9985157560449683,0.2503716125524419,0.2499999999999994
18,matched,7,0.9999999999999996,0.24999999999999936,0.24999999999999925
19,matched,1,0.5716381763924749,0.4373395800429444,0.24999999999999956
19,matched,2,0.8492311740940135,0.2943839176260897,0.2499999999999995
