realization,scenario,collected_event,omega_at_infinity,gamma_used_only_in_sampling_law,event_conditioned_transmissivity,S_R_nats,I_QR_nats,A_op
3,haar_infinity,4,0.1791228412634908,0.24955167507870055,1.0,2.554023692572038,0.7222744762363913,0.4789890974865424
3,haar_infinity,5,0.21394627733155508,0.37857606521995424,1.0,2.5305740525254654,1.2105278488762536,0.12678873778412214
3,haar_infinity,6,0.2531069454959207,0.5342695832539941,1.0,2.0152742637243177,1.3340199636733854,0.03770800698076582
3,haar_infinity,7,0.3041487790407791,0.7144676700506467,1.0,1.3742960724300455,1.3788283155370946,0.005385613468675388
3,haar_infinity,8,0.4001374372850266,0.9091262016116897,1.0,0.6931471805599456,1.3862943611198901,3.3306690738754696e-16
4,haar_infinity,1,0.05933380943319986,0.017626949140836214,1.0,0.6919214723198512,0.0113943802030112,0.9917806920935561
4,haar_infinity,2,0.10771681854853912,0.07102157620533171,1.0,1.3779062576171397,0.057048595753006026,0.9588481369087295
4,haar_infinity,3,0.14488830160734412,0.14778320049284444,1.0,2.0119032915300337,0.1839170030382551,0.8673319258907745
4,haar_infinity,4,0.1791228412634908,0.24955167507870055,1.0,2.5145470068883577,0.6895198818153898,0.5026165429552965
4,haar_infinity,5,0.21394627733155508,0.37857606521995424,1.0,2.5434550223154933,1.2137054473183588,0.12449658502694128
4,haar_infinity,6,0.2531069454959207,0.5342695832539941,1.0,2.0137177496179466,1.3370378005104824,0.035531097861219885
4,haar_infinity,7,0.3041487790407791,0.7144676700506467,1.0,1.3765165938700006,1.3793536367654662,0.005006674303152714
4,haar_infinity,8,0.4001374372850266,0.9091262016116897,1.0,0.6931471805599454,1.3862943611198906,0.0
5,haar_infinity,1,0.05933380943319986,0.017626949140836214,1.0,0.6808584249069228,0.010812132180027634,0.9922006952612191
5,haar_infinity,2,0.10771681854853912,0.07102157620533171,1.0,1.367649959549673,0.03628762489446924,0.9738240117595551
5,haar_infinity,3,0.14488830160734412,0.14778320049284444,1.0,2.0238468645190886,0.16572269375363335,0.8804563457794363
5,haar_infinity,4,0.1791228412634908,0.24955167507870055,1.0,2.5190186000922967,0.6720715787616456,0.5152028330990788
5,haar_infinity,5,0.21394627733155508,0.37857606521995424,1.0,2.512556718627706,1.1819360619267436,0.14741335240522813
5,haar_infinity,6,0.2531069454959207,0.5342695832539941,1.0,2.020378743738258,1.3441675158665347,0.03038809536765663
5,haar_infinity,7,0.3041487790407791,0.7144676700506467,1.0,1.3702655672570856,1.3719290624146858,0.010362372601443792
5,haar_infinity,8,0.4001374372850266,0.9091262016116897,1.0,0.6931471805599454,1.3862943611198901,3.3306690738754696e-16
6,haar_infinity,1,0.05933380943319986,0.017626949140836214,1.0,0.6920307262269962,0.008370400980524773,0.9939620320075724
