finite_mode_number_tail_bound_fraction,finite_mode_power_tail_bound_fraction,mean_frequency,median_number_frequency,median_power_frequency,number_peak_frequency,number_rate_2M1,page_alpha_reconstructed,page_alpha_reference,page_relative_error,power_2M1,power_peak_frequency,sentinel_number_fraction,sentinel_power_fraction,species
1.5889354878080248e-07,1.192720436288817e-06,0.22375237044713497,0.20228734281279967,0.2719049853612025,0.17228951809488094,0.0013296515618778147,,,,0.0002975126888388964,0.23281267579223702,8.135811053071104e-06,4.407683888676027e-05,scalar
5.7988750246463e-07,2.8905034895204763e-06,0.3369537482588655,0.32667169464016527,0.37589428508161893,0.3172867054190887,0.00048577940700740026,0.0001636851920181125,0.0001636,0.0005207336070447482,0.0001636851920181125,0.3582317644852803,2.271887943035076e-06,9.131099522520714e-06,weyl
2.3794029343326475e-06,8.789822832508404e-06,0.45466121903701934,0.45071921062583536,0.4893768648517427,0.4551284455278455,0.000295974888294065,3.36420758790313e-05,3.371e-05,-0.002014954641610722,0.0001345683035161252,0.48384961560097506,5.829997473148986e-07,1.815793494814131e-06,photon
2.5399943731469164e-05,6.166785788742755e-05,0.6917894464057783,0.6949395509093629,0.7225901217874681,0.7066622913932121,2.218094733251416e-05,3.836136318978924e-06,3.84e-06,-0.0010061669325718272,1.5344545275915695e-05,0.7273335833489594,2.9954849169117257e-05,6.084044868409042e-05,graviton
