omega,gamma,gamma_base,gamma_extended,delta_boundary_abs,delta_boundary_rel,delta_boundary_log,delta_tolerance_abs,delta_tolerance_rel,delta_tolerance_log,delta_max_step_abs,delta_max_step_rel,delta_max_step_log,accepted,final_a_in_abs2,final_a_out_abs2,final_wronskian_residual,final_flux_balance_residual,final_rstar_min,final_rstar_max,final_left_potential_ratio,final_right_potential_ratio,final_nfev,final_max_step,final_success,dirac_partner_gamma,dirac_partner_delta_abs,dirac_partner_delta_rel,dirac_partner_delta_log,dirac_partner_accepted,species,label,spin,multipole
0.01,0.0004135127296918466,0.0004135127290622065,0.0004135127300838632,1.0216567175591607e-12,2.470677791033201e-09,2.470677881450823e-09,3.8728048545877414e-13,9.365624263789389e-10,9.365623836410739e-10,4.736120350068429e-15,1.145338464815298e-11,1.1453393789006092e-11,True,2418.3052375321286,2417.305237532131,2.2737367544323206e-12,9.230355195455342e-16,-28.0,11200.0,2.543665647373683e-09,7.134968793724162e-09,7790,19.634954084936208,True,nan,nan,nan,nan,True,scalar,"$s=0,\ell=0$",0.0,ell=0
0.011707799137227793,0.0005701971541629667,0.0005701971525979059,0.0005701971547325331,2.1346272189096127e-12,3.743665157436966e-09,3.743665148645761e-09,5.63023802926943e-13,9.874195246615112e-10,9.874194800020273e-10,6.5426180098637765e-15,1.1474308424895867e-11,1.1474265981869284e-11,True,1753.7793598215546,1752.7793598215567,2.0463630789890885e-12,1.1222576687397456e-15,-28.0,9566.272762902872,1.8557073972648932e-09,8.356502971787409e-09,7766,16.77083271996194,True,nan,nan,nan,nan,True,scalar,"$s=0,\ell=0$",0.0,ell=0
0.013707256063767185,0.0007871190303366933,0.0007871190270832174,0.0007871190311617328,4.078515411683192e-12,5.1815738846240205e-09,5.181573823241267e-09,8.159913716943024e-13,1.036681035834261e-09,1.0366810748552228e-09,9.048100810260529e-15,1.1495212873191705e-11,1.1495249197034942e-11,True,1270.455879553879,1269.4558795538805,1.5916157281026244e-12,1.2341473329402497e-15,-28.0,8170.85487270155,1.353813913325908e-09,9.787691310656707e-09,7754,14.324496451801094,True,nan,nan,nan,nan,True,scalar,"$s=0,\ell=0$",0.0,ell=0
0.016048180071713387,0.0010879974436975722,0.001087997437398805,0.0010879974448340414,7.435236454300664e-12,6.833873091679265e-09,6.8338729996757165e-09,1.1246758732652573e-12,1.0337118710895433e-09,1.0337118943950915e-09,1.1793300710993826e-14,1.0839456268310846e-11,1.0839440456381537e-11,True,919.1198065700303,918.119806570033,2.7284841053187847e-12,2.9839412191146053e-15,-28.0,6978.984501639025,9.876622330741209e-10,1.1464694672797248e-08,7766,12.235003593675328,True,nan,nan,nan,nan,True,scalar,"$s=0,\ell=0$",0.0,ell=0
0.018788886879768225,0.0015062570649065367,0.0015062570535480846,0.0015062570665590248,1.3010940198496246e-11,8.637928081222692e-09,8.637928113227534e-09,1.6399726628785194e-12,1.088773424594878e-09,1.0887734053598098e-09,1.2515379357869172e-14,8.308926576650282e-12,8.30890911632919e-12,True,663.897300997589,662.8973009975899,9.094947017729282e-13,1.3890798233884283e-15,-28.0,5960.970477745597,7.205397115800872e-10,1.3429970645513587e-08,7730,10.450301931445988,True,nan,nan,nan,nan,True,scalar,"$s=0,\ell=0$",0.0,ell=0
0.021997651360042104,0.0020892397391585917,0.0020892397189763534,0.0020892397413931965,2.241684312134784e-11,1.0729665294599399e-08,1.072966532084328e-08,2.2058388102208504e-12,1.0558093304836416e-09,1.0558093294111074e-09,2.8766052040385404e-14,1.376866977074181e-11,1.3768652884588592e-11,True,478.64301126242896,477.6430112624316,2.6716406864579767e-12,5.610095721308994e-15,-28.0,5091.452635868379,5.256629833338504e-10,1.5733389864286285e-08,7718,8.925932029544915,True,nan,nan,nan,nan,True,scalar,"$s=0,\ell=0$",0.0,ell=0
0.025754408361413884,0.00290440048828326,0.002904400451915475,0.0029044004914369733,3.9521498487044004e-11,1.360745484187839e-08,1.360745484803036e-08,3.104307175899601e-12,1.0688288989148678e-09,1.0688289148347175e-09,4.940622563842645e-14,1.7010817150643575e-11,1.7010837183451334e-11,True,344.3051342382477,343.3051342382507,2.9558577807620168e-12,8.587748567823184e-15,-28.0,4348.770060189079,3.834924954260913e-10,1.843355673956168e-08,7682,7.62391968372838,True,nan,nan,nan,nan,True,scalar,"$s=0,\ell=0$",0.0,ell=0
0.030152743999357374,0.004048522881906465,0.004048522819107169,0.004048522886487967,6.738079798979113e-11,1.6643304226073993e-08,1.6643304373842848e-08,4.479399490220359e-12,1.1064281025159954e-09,1.1064280608944744e-09,1.0210235434904291e-13,2.521965598993046e-11,2.5219604183098146e-11,True,247.0036675522249,246.00366755222788,2.9842794901924208e-12,1.2075410116274554e-14,-28.0,3714.4214802602037,2.7977335043721033e-10,2.1599374082310156e-08,7658,6.511829930090168,True,nan,nan,nan,nan,True,scalar,"$s=0,\ell=0$",0.0,ell=0
0.035302227018072674,0.0056615882525028575,0.005661588144388183,0.005661588260465696,1.1607751305292568e-10,2.0502641286499507e-08,2.0502641374306407e-08,7.947999029755959e-12,1.4038461780123857e-09,1.4038461514238178e-09,1.4839691975243596e-14,2.621118193942011e-12,2.6211255388409672e-12,True,176.62888140230316,175.62888140230635,3.183231456205249e-12,1.7996021339783397e-14,-28.0,3172.6043782638008,2.0410602175642136e-10,2.5311899387282875e-08,7646,5.561959044364046,True,nan,nan,nan,nan,True,scalar,"$s=0,\ell=0$",0.0,ell=0
0.041331138302441096,0.007947910076922495,0.007947909884043073,0.007947910085200708,2.0115763568751e-10,2.530950070403918e-08,2.530950106328926e-08,8.409401647258008e-12,1.0580645183285977e-09,1.058064525443412e-09,1.3118846287074604e-13,1.6506032604931464e-11,1.6506129796175826e-11,True,125.81923931218022,124.81923931218365,3.439026841078885e-12,2.7280261383211268e-14,-28.0,2709.821326004589,1.489036323585879e-10,2.9666550707005013e-08,7622,4.750644403078666,True,nan,nan,nan,nan,True,scalar,"$s=0,\ell=0$",0.0,ell=0
