accepted,angular_value,degeneracy,delta_boundary_abs,delta_boundary_log,delta_boundary_rel,delta_max_step_abs,delta_max_step_log,delta_max_step_rel,delta_tolerance_abs,delta_tolerance_log,delta_tolerance_rel,dirac_partner_accepted,dirac_partner_delta_abs,dirac_partner_delta_log,dirac_partner_delta_rel,dirac_partner_gamma,field_label,final_a_in_abs2,final_a_out_abs2,final_flux_balance_residual,final_left_potential_ratio,final_max_step,final_nfev,final_right_potential_ratio,final_rstar_max,final_rstar_min,final_success,final_wronskian_residual,gamma,gamma_base,gamma_extended,included,label,low_frequency_power,mode_label,mode_slug,multipole,omega,physical_dof,reused_lowest_mode,species,spin,statistics,truncation_sentinel
True,0.0,1,1.0216567175591607e-12,2.470677881450823e-09,2.470677791033201e-09,4.736120350068429e-15,1.1453393789006092e-11,1.145338464815298e-11,3.8728048545877414e-13,9.365623836410739e-10,9.365624263789389e-10,True,nan,nan,nan,nan,real scalar $s=0$,2418.3052375321286,2417.305237532131,9.230355195455342e-16,2.543665647373683e-09,19.634954084936208,7790,7.134968793724162e-09,11200.0,-28.0,True,2.2737367544323206e-12,0.0004135127296918466,0.0004135127290622065,0.0004135127300838632,True,"$s=0,\ell=0$",2,$\ell=0$,l0,ell=0,0.01,1,True,scalar,0.0,bose,False
True,0.0,1,2.1346272189096127e-12,3.743665148645761e-09,3.743665157436966e-09,6.5426180098637765e-15,1.1474265981869284e-11,1.1474308424895867e-11,5.63023802926943e-13,9.874194800020273e-10,9.874195246615112e-10,True,nan,nan,nan,nan,real scalar $s=0$,1753.7793598215546,1752.7793598215567,1.1222576687397456e-15,1.8557073972648932e-09,16.77083271996194,7766,8.356502971787409e-09,9566.272762902872,-28.0,True,2.0463630789890885e-12,0.0005701971541629667,0.0005701971525979059,0.0005701971547325331,True,"$s=0,\ell=0$",2,$\ell=0$,l0,ell=0,0.011707799137227793,1,True,scalar,0.0,bose,False
True,0.0,1,4.078515411683192e-12,5.181573823241267e-09,5.1815738846240205e-09,9.048100810260529e-15,1.1495249197034942e-11,1.1495212873191705e-11,8.159913716943024e-13,1.0366810748552228e-09,1.036681035834261e-09,True,nan,nan,nan,nan,real scalar $s=0$,1270.455879553879,1269.4558795538805,1.2341473329402497e-15,1.353813913325908e-09,14.324496451801094,7754,9.787691310656707e-09,8170.85487270155,-28.0,True,1.5916157281026244e-12,0.0007871190303366933,0.0007871190270832174,0.0007871190311617328,True,"$s=0,\ell=0$",2,$\ell=0$,l0,ell=0,0.013707256063767185,1,True,scalar,0.0,bose,False
True,0.0,1,7.435236454300664e-12,6.8338729996757165e-09,6.833873091679265e-09,1.1793300710993826e-14,1.0839440456381537e-11,1.0839456268310846e-11,1.1246758732652573e-12,1.0337118943950915e-09,1.0337118710895433e-09,True,nan,nan,nan,nan,real scalar $s=0$,919.1198065700303,918.119806570033,2.9839412191146053e-15,9.876622330741209e-10,12.235003593675328,7766,1.1464694672797248e-08,6978.984501639025,-28.0,True,2.7284841053187847e-12,0.0010879974436975722,0.001087997437398805,0.0010879974448340414,True,"$s=0,\ell=0$",2,$\ell=0$,l0,ell=0,0.016048180071713387,1,True,scalar,0.0,bose,False
True,0.0,1,1.3010940198496246e-11,8.637928113227534e-09,8.637928081222692e-09,1.2515379357869172e-14,8.30890911632919e-12,8.308926576650282e-12,1.6399726628785194e-12,1.0887734053598098e-09,1.088773424594878e-09,True,nan,nan,nan,nan,real scalar $s=0$,663.897300997589,662.8973009975899,1.3890798233884283e-15,7.205397115800872e-10,10.450301931445988,7730,1.3429970645513587e-08,5960.970477745597,-28.0,True,9.094947017729282e-13,0.0015062570649065367,0.0015062570535480846,0.0015062570665590248,True,"$s=0,\ell=0$",2,$\ell=0$,l0,ell=0,0.018788886879768225,1,True,scalar,0.0,bose,False
True,0.0,1,2.241684312134784e-11,1.072966532084328e-08,1.0729665294599399e-08,2.8766052040385404e-14,1.3768652884588592e-11,1.376866977074181e-11,2.2058388102208504e-12,1.0558093294111074e-09,1.0558093304836416e-09,True,nan,nan,nan,nan,real scalar $s=0$,478.64301126242896,477.6430112624316,5.610095721308994e-15,5.256629833338504e-10,8.925932029544915,7718,1.5733389864286285e-08,5091.452635868379,-28.0,True,2.6716406864579767e-12,0.0020892397391585917,0.0020892397189763534,0.0020892397413931965,True,"$s=0,\ell=0$",2,$\ell=0$,l0,ell=0,0.021997651360042104,1,True,scalar,0.0,bose,False
True,0.0,1,3.9521498487044004e-11,1.360745484803036e-08,1.360745484187839e-08,4.940622563842645e-14,1.7010837183451334e-11,1.7010817150643575e-11,3.104307175899601e-12,1.0688289148347175e-09,1.0688288989148678e-09,True,nan,nan,nan,nan,real scalar $s=0$,344.3051342382477,343.3051342382507,8.587748567823184e-15,3.834924954260913e-10,7.62391968372838,7682,1.843355673956168e-08,4348.770060189079,-28.0,True,2.9558577807620168e-12,0.00290440048828326,0.002904400451915475,0.0029044004914369733,True,"$s=0,\ell=0$",2,$\ell=0$,l0,ell=0,0.025754408361413884,1,True,scalar,0.0,bose,False
True,0.0,1,6.738079798979113e-11,1.6643304373842848e-08,1.6643304226073993e-08,1.0210235434904291e-13,2.5219604183098146e-11,2.521965598993046e-11,4.479399490220359e-12,1.1064280608944744e-09,1.1064281025159954e-09,True,nan,nan,nan,nan,real scalar $s=0$,247.0036675522249,246.00366755222788,1.2075410116274554e-14,2.7977335043721033e-10,6.511829930090168,7658,2.1599374082310156e-08,3714.4214802602037,-28.0,True,2.9842794901924208e-12,0.004048522881906465,0.004048522819107169,0.004048522886487967,True,"$s=0,\ell=0$",2,$\ell=0$,l0,ell=0,0.030152743999357374,1,True,scalar,0.0,bose,False
True,0.0,1,1.1607751305292568e-10,2.0502641374306407e-08,2.0502641286499507e-08,1.4839691975243596e-14,2.6211255388409672e-12,2.621118193942011e-12,7.947999029755959e-12,1.4038461514238178e-09,1.4038461780123857e-09,True,nan,nan,nan,nan,real scalar $s=0$,176.62888140230316,175.62888140230635,1.7996021339783397e-14,2.0410602175642136e-10,5.561959044364046,7646,2.5311899387282875e-08,3172.6043782638008,-28.0,True,3.183231456205249e-12,0.0056615882525028575,0.005661588144388183,0.005661588260465696,True,"$s=0,\ell=0$",2,$\ell=0$,l0,ell=0,0.035302227018072674,1,True,scalar,0.0,bose,False
True,0.0,1,2.0115763568751e-10,2.530950106328926e-08,2.530950070403918e-08,1.3118846287074604e-13,1.6506129796175826e-11,1.6506032604931464e-11,8.409401647258008e-12,1.058064525443412e-09,1.0580645183285977e-09,True,nan,nan,nan,nan,real scalar $s=0$,125.81923931218022,124.81923931218365,2.7280261383211268e-14,1.489036323585879e-10,4.750644403078666,7622,2.9666550707005013e-08,2709.821326004589,-28.0,True,3.439026841078885e-12,0.007947910076922495,0.007947909884043073,0.007947910085200708,True,"$s=0,\ell=0$",2,$\ell=0$,l0,ell=0,0.041331138302441096,1,True,scalar,0.0,bose,False
True,0.0,1,3.294856609770136e-10,2.939541899987592e-08,2.9395418537049958e-08,3.0662625216670847e-13,2.7356006349440496e-11,2.7355991730141582e-11,1.1603197569431956e-11,1.0351918216884477e-09,1.0351917831875799e-09,True,nan,nan,nan,nan,real scalar $s=0$,89.21607832609358,88.21607832609688,3.692705863311829e-14,1.0863124732322573e-10,4.057675014232895,7574,3.477573262346537e-08,2314.543744936701,-28.0,True,3.296918293926865e-12,0.011208741952822688,0.011208741635246851,0.011208741964732512,True,"$s=0,\ell=0$",2,$\ell=0$,l0,ell=0,0.048389666535796245,1,True,scalar,0.0,bose,False
True,0.0,1,4.972308918771429e-10,3.1285837430934415e-08,3.1285836852360494e-08,3.474096010869232e-13,2.1858959087000876e-11,2.185906040454675e-11,4.304299625057517e-11,2.7082713812650922e-09,2.708271308824854e-09,True,nan,nan,nan,nan,real scalar $s=0$,62.920139040940114,61.92013904094425,6.576336697428076e-14,7.925090683202013e-11,3.4657880329792548,7586,4.077196842397436e-08,1976.9247130120684,-28.0,True,4.135358722123783e-12,0.015893162590586967,0.01589316204996567,0.01589316254719656,True,"$s=0,\ell=0$",2,$\ell=0$,l0,ell=0,0.05665364961185362,1,True,scalar,0.0,bose,False
True,0.0,1,9.179349225174604e-10,4.047661723810525e-08,4.0476616487226986e-08,1.7023882303845994e-13,7.506772981031172e-12,7.506732103041405e-12,1.2857260395238157e-11,5.669447135589562e-10,5.669447640876396e-10,True,nan,nan,nan,nan,real scalar $s=0$,44.09530076077595,43.09530076078079,1.0974207653724477e-13,5.781675520128826e-11,2.960238719811087,7550,4.7811644015297426e-08,1688.5536639640115,-28.0,True,4.838796030526282e-12,0.02267815351629326,0.022678152611385838,0.02267815352932076,True,"$s=0,\ell=0$",2,$\ell=0$,l0,ell=0,0.06632895500464654,1,True,scalar,0.0,bose,False
True,0.0,1,1.5180466259034908e-09,4.65731546918566e-08,4.6573153600063374e-08,1.7785772854495008e-13,5.4566351437450695e-12,5.456614552634268e-12,3.4862390752010697e-12,1.069566657520582e-10,1.069566277908282e-10,True,nan,nan,nan,nan,real scalar $s=0$,30.67965950805008,29.67965950805628,2.0210222384520193e-13,4.217967106787849e-11,2.5284331283052923,7514,5.607949339774491e-08,1442.2468682391766,-28.0,True,6.199485369506874e-12,0.0325948858636325,0.032594884349249974,0.0325948858672966,True,"$s=0,\ell=0$",2,$\ell=0$,l0,ell=0,0.07765660821766218,1,True,scalar,0.0,bose,False
True,0.0,1,2.616583887060653e-09,5.540582705685627e-08,5.540582567051135e-08,4.883871085326064e-13,1.0341505429831881e-11,1.0341533909497567e-11,3.981139723441274e-11,8.430012247374039e-10,8.430011916595661e-10,True,nan,nan,nan,nan,real scalar $s=0$,21.174870771199178,20.17487077120509,2.791586406480917e-13,3.077178311374318e-11,2.1596143721543055,7514,6.579398599792738e-08,1231.8684761623574,-28.0,True,5.9117155615240335e-12,0.0472257899849921,0.047225787408707996,0.04722579002529188,True,"$s=0,\ell=0$",2,$\ell=0$,l0,ell=0,0.09091879706907821,1,True,scalar,0.0,bose,False
